,season,region,minus_values
ccoef,am,NE,0.4967476782303595
crmsd,am,NE,-0.5133563613973013
sdev,am,NE,-0.14710475645030385
ccoef,jja,NE,0.5271656037628201
crmsd,jja,NE,-0.5158630461770533
sdev,jja,NE,0.02477791925848316
ccoef,am,NC,0.33546831863625504
crmsd,am,NC,-0.45479797998443994
sdev,am,NC,-0.1372151056450981
ccoef,jja,NC,0.7214732457766112
crmsd,jja,NC,-0.8033521729206246
sdev,jja,NC,-0.07908246467545021
ccoef,am,YZ,0.7594574702254074
crmsd,am,YZ,-0.7834642887618397
sdev,am,YZ,0.0866181305665834
ccoef,jja,YZ,0.4768745856346501
crmsd,jja,YZ,-0.46022506493858284
sdev,jja,YZ,0.10791897489348834
ccoef,am,SC,0.13693245332858672
crmsd,am,SC,-0.15167273856153218
sdev,am,SC,0.003431886599131184
ccoef,jja,SC,0.6853181173752824
crmsd,jja,SC,-1.2350327007816202
sdev,jja,SC,-0.672107444381115
ccoef,am,SW,0.6994251782125106
crmsd,am,SW,-0.6235144925434492
sdev,am,SW,0.13680273137993648
ccoef,jja,SW,0.14242327729751897
crmsd,jja,SW,0.09270095536025691
sdev,jja,SW,0.31668560507314236
ccoef,am,NWC,0.26638549854805316
crmsd,am,NWC,-0.34116146510176204
sdev,am,NWC,-0.014035787431340818
ccoef,jja,NWC,0.8119596235960004
crmsd,jja,NWC,-0.7867497875963764
sdev,jja,NWC,-0.17554515341650012
