,model,region,minus_values
ccoef,vr,NE,0.3274613742191879
crmsd,vr,NE,-0.3937345979092053
sdev,vr,NE,-0.18579196903897377
ccoef,rcm,NE,0.3578792997516485
crmsd,rcm,NE,-0.3962412826889572
sdev,rcm,NE,-0.013909293330186756
ccoef,vr,NC,-0.42757534371247086
crmsd,vr,NC,0.8580348645182541
sdev,vr,NC,0.5821559536285481
ccoef,rcm,NC,-0.04157041657211469
crmsd,rcm,NC,0.5094806715820694
sdev,rcm,NC,0.640288594598196
ccoef,vr,YZ,0.12477620778020022
crmsd,vr,YZ,0.24490138973080877
sdev,vr,YZ,0.4934146331706719
ccoef,rcm,YZ,-0.15780667681055716
crmsd,rcm,YZ,0.5681406135540656
sdev,rcm,YZ,0.5147154774975768
ccoef,vr,SC,-0.8124242253631365
crmsd,vr,SC,1.6382006338957158
sdev,vr,SC,0.9977922164882931
ccoef,rcm,SC,-0.2640385613164409
crmsd,rcm,SC,0.5548406716756278
sdev,rcm,SC,0.32225288550804687
ccoef,vr,SW,0.05150221892759139
crmsd,vr,SW,-0.3655833217554836
sdev,vr,SW,-0.47570871319565766
ccoef,rcm,SW,-0.5054996819874003
crmsd,rcm,SW,0.3506321261482225
sdev,rcm,SW,-0.2958258395024518
ccoef,vr,NWC,-0.5922737063400255
crmsd,vr,NWC,0.3333473058929939
sdev,vr,NWC,-0.23902284946725483
ccoef,rcm,NWC,-0.046699581292078296
crmsd,rcm,NWC,-0.11224101660162045
sdev,rcm,NWC,-0.40053221545241413
