,values,season,model,region
ccoef,0.406611784099495,am,vr,NE
crmsd,1.304143231582883,am,vr,NE
sdev,1.3372689240665867,am,vr,NE
ccoef,-0.13100532340840876,jja,vr,NE
crmsd,1.3619493865763401,jja,vr,NE
sdev,0.8028407970228255,jja,vr,NE
ccoef,0.8734691035606845,am,rcm,NE
crmsd,0.6183220177552887,am,rcm,NE
sdev,1.2546126360574954,am,rcm,NE
ccoef,0.5283737453825648,jja,rcm,NE
crmsd,0.9785691045297439,jja,rcm,NE
sdev,1.0149704246245133,jja,rcm,NE
ccoef,0.40457610157326385,am,vr,NC
crmsd,1.3195847122063138,am,vr,NC
sdev,1.3558834030624252,am,vr,NC
ccoef,0.39688193727162463,jja,vr,NC
crmsd,1.2857867639321034,jja,vr,NC
sdev,1.2973056765403708,jja,vr,NC
ccoef,0.8779697253191715,am,rcm,NC
crmsd,0.5236511524302455,am,rcm,NC
sdev,1.0901992308301955,am,rcm,NC
ccoef,0.4818930520772728,jja,rcm,NC
crmsd,1.0950134194658274,jja,rcm,NC
sdev,1.1386086189387534,jja,rcm,NC
ccoef,0.2763716091143254,am,vr,YZ
crmsd,1.3970610004028867,am,vr,YZ
sdev,1.2903542069956662,am,vr,YZ
ccoef,0.39702629284306573,jja,vr,YZ
crmsd,1.191461815410286,jja,vr,YZ
sdev,1.1567704207790825,jja,vr,YZ
ccoef,0.8269160114059572,am,rcm,YZ
crmsd,0.6509148034995865,am,rcm,YZ
sdev,1.1547576981821068,am,rcm,YZ
ccoef,0.5898266890896765,jja,rcm,YZ
crmsd,0.9122541796223693,jja,rcm,YZ
sdev,1.0142123806746761,jja,rcm,YZ
ccoef,0.48945237760762295,am,vr,SC
crmsd,0.9628577546228619,am,vr,SC
sdev,0.8976909752945771,am,vr,SC
ccoef,-0.09016929412091321,jja,vr,SC
crmsd,1.4634131777153132,jja,vr,SC
sdev,0.9820753534615898,jja,vr,SC
ccoef,0.8779584867069565,am,rcm,SC
crmsd,0.48629290534178904,am,rcm,SC
sdev,0.9633511831925137,am,rcm,SC
ccoef,0.5254784395375215,jja,rcm,SC
crmsd,1.1712381860304988,jja,rcm,SC
sdev,1.3304172360354458,jja,rcm,SC
ccoef,-0.21609288266575946,am,vr,SW
crmsd,1.2893757661750238,am,vr,SW
sdev,0.6260388916029518,am,vr,SW
ccoef,0.25301960303979776,jja,vr,SW
crmsd,1.1562597047075738,jja,vr,SW
sdev,0.8862299636189914,jja,vr,SW
ccoef,0.8530262670356415,am,rcm,SW
crmsd,0.5270398762989247,am,rcm,SW
sdev,0.779372880922204,am,rcm,SW
ccoef,0.6195450586085663,jja,rcm,SW
crmsd,0.8583583661313767,jja,rcm,SW
sdev,0.9668419510773381,jja,rcm,SW
ccoef,0.11360621731655308,am,vr,NWC
crmsd,1.6732875254143327,am,vr,NWC
sdev,1.4600079495962837,am,vr,NWC
ccoef,-0.16375367753165102,jja,vr,NWC
crmsd,2.0442547593527927,jja,vr,NWC
sdev,1.6267191323012158,jja,vr,NWC
ccoef,0.8642071756561946,am,rcm,NWC
crmsd,0.5160462461780156,am,rcm,NWC
sdev,0.9789145897294798,am,rcm,NWC
ccoef,0.3721603917026587,jja,rcm,NWC
crmsd,1.890819222010391,jja,rcm,NWC
sdev,2.019491780963975,jja,rcm,NWC
