,mean,RX5day,SDII,CDD,CWD,model,season
ccoef,0.8036845698050817,0.8365905420434459,0.7745526004678107,0.4437191860218985,0.5605418427365064,vr,am
crmsd,0.9872386499320303,0.7018067479765207,0.6470995714735894,0.9785548475290528,2.6007260359482127,vr,am
sdev,1.5914339258970671,1.275243533076137,0.9111892950002546,0.8367284806531377,3.0258984237440782,vr,am
ccoef,0.794333070700873,0.8529673329124785,0.7511618604640361,0.4206635700710325,0.34925877297247737,vr,jja
crmsd,1.3558169202163792,0.6427052055229494,0.7097291311688149,1.2001486883975638,3.053296172422312,vr,jja
sdev,2.0064405311040603,1.227965002534735,1.0118524438103331,1.206357348490653,3.255218030606173,vr,jja
ccoef,0.8023013086193838,0.782267559061038,0.6377891091530906,0.49293931073664304,0.6083071874692455,rcm,am
crmsd,0.7175768840476162,0.6611644795239906,0.7806228329583625,0.9462800668203596,1.8226981991733167,rcm,am
sdev,1.200552452837319,1.0038098867177292,0.7648597788225042,0.8650080260716763,2.2491199006075826,rcm,am
ccoef,0.8294929962496642,0.8135876142586307,0.7381185441684454,0.44750466163968033,0.4597412213676498,rcm,jja
crmsd,0.7461940712247697,0.6354387826714867,0.6749785344193291,1.0292270085733501,2.256096410999108,rcm,jja
sdev,1.32433055948777,1.0699218737677167,0.758490268990129,0.9569834711755542,2.533706748165932,rcm,jja
