,values,season,model,region
ccoef,0.08243748992969593,mjja,vr,NE
crmsd,1.4411819148395306,mjja,vr,NE
sdev,1.1234952674903125,mjja,vr,NE
ccoef,0.6409244720063072,mjja,rcm,NE
crmsd,0.8671555451165397,mjja,rcm,NE
sdev,1.0443385701400183,mjja,rcm,NE
ccoef,-0.09600057879768015,mjja,vr,NC
crmsd,2.171278238747843,mjja,vr,NC
sdev,1.8336795380429802,mjja,vr,NC
ccoef,0.5987356492677782,mjja,rcm,NC
crmsd,1.3345128790288936,mjja,rcm,NC
sdev,1.666166678470344,mjja,rcm,NC
ccoef,0.04372675365764332,mjja,vr,YZ
crmsd,1.600349846627739,mjja,vr,YZ
sdev,1.293939401918417,mjja,vr,YZ
ccoef,0.755657300572314,mjja,rcm,YZ
crmsd,0.9343240506964867,mjja,rcm,YZ
sdev,1.4219750830158724,mjja,rcm,YZ
ccoef,-0.2737870380483944,mjja,vr,SC
crmsd,2.9266274812867885,mjja,vr,SC
sdev,2.4902875061264624,mjja,vr,SC
ccoef,0.21293157248116926,mjja,rcm,SC
crmsd,1.9606369118286116,mjja,rcm,SC
sdev,1.912765996961292,mjja,rcm,SC
ccoef,-0.0036212745676018625,mjja,vr,SW
crmsd,1.3435349104255956,mjja,vr,SW
sdev,0.8936519693403127,mjja,vr,SW
ccoef,0.3219546098462519,mjja,rcm,SW
crmsd,1.2693805605904345,mjja,rcm,SW
sdev,1.1675206000390619,mjja,rcm,SW
ccoef,-0.07092444979902982,mjja,vr,NWC
crmsd,1.3995981640800033,mjja,vr,NWC
sdev,0.9108622655862281,mjja,vr,NWC
ccoef,0.8020845789601272,mjja,rcm,NWC
crmsd,0.6057766015612699,mjja,rcm,NWC
sdev,0.9035977583196849,mjja,rcm,NWC
