,mean,daily_temperature_range,daily_temperature_range_variability,heat_wave_total_length,heat_wave_max_length,model,season
ccoef,0.9768452195789766,0.7623760668688174,0.694633657279328,0.632214576864586,0.6517146981681324,vr,am
crmsd,0.35201943326234647,0.8059707458778106,0.7239096392876987,1.521874961784298,1.4386211595923104,vr,am
sdev,1.2563881717923937,1.2427989151423993,0.7756344592326732,1.9420995605582012,1.874156062256855,vr,am
ccoef,0.9717974380850016,0.7892617682950362,0.67112681440266,0.7726322835678017,0.7363862287642929,vr,jja
crmsd,0.2785823471127616,0.6711292001163756,0.7522081481254075,1.4497062320662604,1.8741123546807916,vr,jja
sdev,1.1201159654466772,1.0600911355922793,0.7985168746602272,2.07593915645037,2.4841166987970387,vr,jja
ccoef,,,,0.7752424818180809,0.736702272308154,vr,amjja
crmsd,,,,1.4463201612831473,1.8693595469239264,vr,amjja
sdev,,,,2.0763354510364844,2.479468852691087,vr,amjja
ccoef,0.9739378772938991,0.7694400252285504,0.7372859828033351,0.6890397427763773,0.6986801047388952,rcm,am
crmsd,0.37466765332379814,0.7911568554072494,0.6776090000482156,2.7840676826328763,2.58055188063079,rcm,am
sdev,1.2721506148714965,1.2363095195119251,0.7896750968289397,3.3771261678390356,3.178075574885805,rcm,am
ccoef,0.9646642202802206,0.7767226299453623,0.6686490882898338,0.8018417356152922,0.7802000659538111,rcm,jja
crmsd,0.326520035680612,0.6513128959054411,0.7453539461719051,1.4291470411839797,1.8303496714473748,rcm,jja
sdev,1.1575175132392208,0.9425735837700772,0.7200692038374981,2.1000757030878257,2.5003431014836606,rcm,jja
ccoef,,,,0.8055474497002051,0.7801589331394418,rcm,amjja
crmsd,,,,1.4673057641229619,1.8395212762544288,rcm,amjja
sdev,,,,2.1478934926961886,2.510039416511054,rcm,amjja
