,values,season,model,region
ccoef,-0.17431052045828285,mjja,vr,NE
crmsd,1.811103453279595,mjja,vr,NE
sdev,1.345715754507067,mjja,vr,NE
ccoef,0.3595745563997648,mjja,rcm,NE
crmsd,1.1506879765603095,mjja,rcm,NE
sdev,1.0329070755040761,mjja,rcm,NE
ccoef,0.39443714983181066,mjja,vr,NC
crmsd,1.2198210266734109,mjja,vr,NC
sdev,1.1966490831770564,mjja,vr,NC
ccoef,0.6253263780671041,mjja,rcm,NC
crmsd,0.9283367492370086,mjja,rcm,NC
sdev,1.1281605356267763,mjja,rcm,NC
ccoef,0.3445081639114194,mjja,vr,YZ
crmsd,1.2913815093596346,mjja,vr,YZ
sdev,1.2312731573297337,mjja,vr,YZ
ccoef,0.6834446835588825,mjja,rcm,YZ
crmsd,0.8077904333548621,mjja,rcm,YZ
sdev,1.029308903674792,mjja,rcm,YZ
ccoef,-0.13495064123240946,mjja,vr,SC
crmsd,1.641202670082539,mjja,vr,SC
sdev,1.1733910266910883,mjja,vr,SC
ccoef,0.7990896649486786,mjja,rcm,SC
crmsd,0.7016305239767874,mjja,rcm,SC
sdev,1.1607935317956546,mjja,rcm,SC
ccoef,0.10029404460690428,mjja,vr,SW
crmsd,1.1774688638108204,mjja,vr,SW
sdev,0.7299699563672196,mjja,vr,SW
ccoef,0.8573363429899102,mjja,rcm,SW
crmsd,0.5148467990006009,mjja,rcm,SW
sdev,0.8477024569017768,mjja,rcm,SW
ccoef,0.01117119699264443,mjja,vr,NWC
crmsd,1.75706397946391,mjja,vr,NWC
sdev,1.455954457437813,mjja,vr,NWC
ccoef,0.5749738519408304,mjja,rcm,NWC
crmsd,1.295327357925472,mjja,rcm,NWC
sdev,1.579198875984866,mjja,rcm,NWC
