,season,region,minus_values
ccoef,am,NE,0.4668573194611895
crmsd,am,NE,-0.6858212138275942
sdev,am,NE,-0.0826562880090913
ccoef,jja,NE,0.6593790687909735
crmsd,jja,NE,-0.38338028204659624
sdev,jja,NE,0.21212962760168774
ccoef,am,NC,0.47339362374590765
crmsd,am,NC,-0.7959335597760683
sdev,am,NC,-0.2656841722322296
ccoef,jja,NC,0.08501111480564816
crmsd,jja,NC,-0.19077334446627603
sdev,jja,NC,-0.15869705760161734
ccoef,am,YZ,0.5505444022916317
crmsd,am,YZ,-0.7461461969033002
sdev,am,YZ,-0.13559650881355934
ccoef,jja,YZ,0.19280039624661077
crmsd,jja,YZ,-0.27920763578791674
sdev,jja,YZ,-0.14255804010440642
ccoef,am,SC,0.3885061090993336
crmsd,am,SC,-0.4765648492810729
sdev,am,SC,0.06566020789793658
ccoef,jja,SC,0.6156477336584347
crmsd,jja,SC,-0.2921749916848144
sdev,jja,SC,0.348341882573856
ccoef,am,SW,1.069119149701401
crmsd,am,SW,-0.7623358898760991
sdev,am,SW,0.15333398931925224
ccoef,jja,SW,0.3665254555687686
crmsd,jja,SW,-0.29790133857619705
sdev,jja,SW,0.08061198745834663
ccoef,am,NWC,0.7506009583396416
crmsd,am,NWC,-1.1572412792363171
sdev,am,NWC,-0.4810933598668039
ccoef,jja,NWC,0.5359140692343097
crmsd,jja,NWC,-0.15343553734240167
sdev,jja,NWC,0.3927726486627594
